id_registro,setor,temperatura_c,tempo_ciclo_s,producao_dia,falha
1,Montagem,72.62,41.77,111,0
2,Usinagem,81.65,34.08,128,0
3,Usinagem,68.87,39.44,159,0
4,Usinagem,66.84,34.52,98,0
5,Usinagem,66.23,31.57,94,0
6,Usinagem,64.79,37.09,83,0
7,Usinagem,85.02,36.34,106,1
8,Inspeção,60.31,33.77,124,0
9,Montagem,75.84,29.65,92,0
10,Inspeção,68.38,28.93,145,1
11,Usinagem,76.31,35.48,149,0
12,Inspeção,74.79,33.37,134,0
13,Usinagem,76.31,36.51,154,0
14,Montagem,63.28,33.71,129,0
15,Montagem,64.98,33.24,83,0
16,Montagem,81.48,30.5,102,0
17,Montagem,79.62,39.68,85,1
18,Inspeção,69.8,27.2,91,0
19,Inspeção,77.16,47.45,99,0
20,Usinagem,73.3,39.77,119,1
21,Inspeção,79.77,38.04,91,0
22,Usinagem,71.76,35.16,80,0
23,Inspeção,74.16,31.93,149,0
24,Usinagem,74.69,32.34,123,1
25,Usinagem,74.03,32.71,145,1
26,Usinagem,75.96,38.7,93,0
27,Usinagem,60.8,37.18,159,0
28,Montagem,69.37,35.9,122,1
29,Montagem,70.28,35.04,103,0
30,Inspeção,73.53,32.84,82,0
31,Montagem,63.59,42.29,159,1
32,Inspeção,68.91,32.66,155,0
33,Inspeção,77.62,35.7,108,1
34,Inspeção,73.32,32.18,129,1
35,Usinagem,78.24,31.93,158,0
36,Usinagem,68.47,36.87,87,0
37,Inspeção,75.62,30.78,125,1
38,Usinagem,78.5,36.39,90,0
39,Montagem,76.19,36.54,111,1
40,Montagem,68.64,34.88,102,0
